5   21
5   24
5   32
7   8
7   42
8   17
8   26
8   37
9   15
9   37
10   7
11   16
12   12
12   13
13   44
14   3
14   27
14   36
15   7
15   9
15   10
15   22
16   17
17   19
17   29
18   7
18   8
18   10
18   40
18   45
19   36
20   17
20   28
20   33
20   36
20   39
20   42
21   16
21   21
23   8
23   18
24   10
24   22
25   10
25   21
25   23
26   11
26   31
26   33
27   17
27   36
27   38
28   30
28   42
29   3
29   13
29   21
29   23
29   27
30   3
30   22
30   34
31   27
31   34
32   11
32   13
33   6
33   28
34   3
34   6
34   22
35   15
35   19
35   41
36   20
36   33
36   41
37   10
37   15
37   42
37   46
38   21
38   35
38   41
39   41
40   17
40   30
40   38
41   38
41   40
41   46
42   19
42   20
43   9
43   13
43   29
44   21
45   17
45   38
47   3
47   10
47   45
48   24
49   20
50   4
50   5
50   21
50   26
52   14
52   46
