25.2825	 20.1885	6.14197
11.8565	 13.278	                4.2463
15.2742	 92.7696	3.30312
13.6123	 50.7571	4.33096
54.0489	 42.6489	6.45078
15.024	 32.8068	4.05074
29.2811	 40.6862	6.72845
9.6683	 81.1293	3.50081
29.5521	 5.70498	3.81184
28.3579	 74.6012	4.10158
31.8271	 91.6113	7.0979
27.9027	 56.6422	4.96687
42.4909	 31.3503	3.05708
44.5802	 14.6326	7.83601
40.3542	 47.9861	3.77666
40.9355	 79.9933	2.88898
41.0252	 49.3045	2.63434
42.6252	 65.1199	5.97921
83.0043	 93.7587	5.05203
14.9309	 67.0443	6.04794
53.5792	 3.57374	2.96857
58.2836	 57.435	        3.66045
55.7628	 72.4737	4.21025
57.1406	 24.9352	2.77214
45.9702	 97.1551	3.40997
60.0444	 11.6796	2.49004
91.9474	 80.2856	3.0953
66.0276	 32.4439	2.58867
91.5906	 23.7454	2.09488
71.8226	 15.9461	6.14206
74.5334	 81.3605	3.70609
66.8214	 95.3777	3.22965
72.7836	 46.5553	4.55893
80.1015	 28.0464	2.71905
54.6767	 86.532  	5.33166
87.767	 10.4027	4.70793
73.7979	 65.7681	7.15673
91.3393	 40.7875	5.74248
90.5375	 59.2784	3.96601
